#,REF ID,DOI,First author,Year,Full author list,Country,Continent,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),"Goverance type - overall (bottom-up, comgmt, top-down)",Ecosystem,Short type of closure (name),Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),"Governance type - design (bottom-up, comgmt, top-down)",Design: types of actors,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Length of time closed (range),Length of time closed (range) - standardized to years,Length of time closed - bins,Length of time open (range),Length of time open (range) - standardized to days,Length of time open - bins,Biomass of target fishes (report changes through time if available),Biomass summary of closed area relative to open - increase / no change / decrease,Abundance of target fishes,Abundance summary - increase / no change / decrease,Perceived compliance (through time if available),Compliance - high / medium / low,Is the closure a 'success' or not? Why?,Success? Categorized yes/ no to paper,Success? Why
1,001-CIN-19,10.1073/pnas.1914812116,Cinner J,2019,"J. E. Cinner, J. D. Lau, A. G. Bauman, D. A. Feary, F. A. Januchowski-Hartley, C. A. Rojasa, M. L. Barnesa, B. J. Bergsetha, E. Shuma, R. Laharih, J. Beni, and N. A. J. Grahamj ",Papua New Guinea ,Oceania,7,"Village and Clan leaders involved. (""No other actors involved other than villagers and clan leaders"") ",Bottom-up,Coastal coral reef,Rotational Closure,"Clan leaders, specifically 3 in Muluk, 6 in Wadau, as well as the villagers.",Bottom-up,"Community leaders, villagers",N/a,,1-9 Years,1-9,1-9 years,2 weeks for 9 year period,14,1-2 weeks,"Fish biomass in a closed reef is double than open. Overall absolute value, shows a biomass decrease. Absolute value of fish biomass decreased overtime. (Fig.3A)",Increase,N/a,N/A,"Wuanataive surveys stated that 70% were in compliance in 2001, then increased to 84% by 2016",High,N/a,,
2,002-CIN-06-A,jstor.org/stable/26267789,Cinner J,2006,"Josh Cinner, Michael J. Marnane, Timothy R. McClanahan, Glenn R. Almany",Indonesia,Asia,9,Community leaders and elders,Bottom-up,Coastal coral reef,Periodic Closure,Community leaders and elders,Bottom-up,Community leaders,50 ha,50,"~6 months; ""The taboo generally lasts for six months""",0.5,2-11 months,Not mentioned. ,rest of time,rest of time,"37% greater: greater biomass included Scaridae (parrotfishes), Pomacanthidae (damselfishes), Serranidae, Haemulidae (sweetlips), Nemipteridae (threadfin breams) and Balistidae (triggerfish). ",Increase, 1971.1 density/ ha *Table 1*,,Reasonably high. 91%,High,"both biomass and average size was greater inside managed areas for several families characterized by high longevity, low natural mortality, and low somatic and population growth",,
3,002-CIN-06-B,jstor.org/stable/26267789,Cinner J,2006,"Josh Cinner, Michael J. Marnane, Timothy R. McClanahan, Glenn R. Almany",Papua New Guinea ,Oceania,1,3 clan-chiefs and community members,Bottom-up,Coastal coral reef,Periodic Closure,3 Clan Chiefs,Bottom-up,Community leaders,58 ha,58,~6 months,0.5,2-11 months,N/a,rest of time,rest of time,"25% greater: greater biomass included Lutjanidae (snappers), Lethrinidae (emperors), Acanthuridae (surgeonfishes), Serranidae (sea basses) and Siganidae (rabbitfishes) (Table 2).",Increase,3065.3 density/ ha *Table 1* ,,Medium compliance. 52%,Medium,"In contrast, we found that adaptive periodic closures increased fish biomass and average fish size",,
4,013-BAR-09,10.1111/j.1523-1739.2009.01293.x,Bartlett C,2009,"C.Y Bartlett, C. Manua, J. Cinner, S. Sutton, R. Jimmy, R. South, J., South, J. Nilsson and J. Raina ",Vanuatu,Oceania,4,PHC goverend by multiple villages and communities with advisory support from national government departments. ,Co-management,Coastal coral reef,Periodic Closure,Communities and external stakeholders manage LMMAs & closures.,Co-management,"Villagers, external advisors","""The size of marine reserves depends principally on the tenured reef available to a village, but is typically <0.05 km""",5,"Not stated, but opened for 1-day fishing event (Periodic clsoures had been harvested no more than twice in the preceeding 12 months in single-day harvest events) ",0.333,2-11 months,"Not stated, but opened for 1-day fishing event (Periodic clsoures had been harvested no more than twice in the preceeding 12 months in single-day harvest events) ",1,1 day,"Higher abundnace.(""Periodically harvested closures had significantly higher abundance and biomass of fishes than openly fished areas (Table 2; Fig. 2). Fishes with vulnerable life histories had higher abundance and biomass in periodic closures than in adjacent controls (Table 2; Fig. 2), whereaswe detected no significant differences in fishes with less vulnerable life histories. Abundance and biomass offishes did not differ significantly between permanent re-serves and control fishing areas (Table 2). Abundance and biomass of fishes also did not differ significantly between permanent reserves and periodically harvested closures (Table 2; Fig. 2). Likewise, target fishes abundance and biomass between fishing areas adjacent to permanent reserves and those adjacent to periodically harvested closures did not differ significantly"")",Increase,"Higher abundnace.(""Periodically harvested closures had significantly higher abundance and biomass of fishes than openly fished areas (Table 2; Fig. 2). Fishes with vulnerable life histories had higher abundance and biomass in periodic closures than in adjacent controls (Table 2; Fig. 2), whereaswe detected no significant differences in fishes with less vulnerable life histories. Abundance and biomass offishes did not differ significantly between permanent re-serves and control fishing areas (Table 2). Abundance and biomass of fishes also did not differ significantly between permanent reserves and periodically harvested closures (Table 2; Fig. 2). Likewise, target fishes abundance and biomass between fishing areas adjacent to permanent reserves and those adjacent to periodically harvested closures did not differ significantly"")",Increase,"High compliance and community acceptance. (""Ex. 0-1 rule violations in preceding year from Table 1. "")",High,"Yes, higher biomass in periodically harvested reserves than in adjacent openly fished areas. ",,
5,007-CIN-07-A,10.1007/s00338-007-0213-2,Cinner J,2007,"Cinner J, R. Pollnac ",Indonesia ,Asia,6,"Governed by polycentric institutions operating at the national, provincial, and local scales. ""Ownership of resources is defined by social groups typically at the individual, family, clan, and/or community level, and different groups may have overlapping rights with differing levels of autonomy. """,Co-management,Coastal coral reef,Periodically Harvested Closure," ""Five main clans on Ahus, with 24 different sub clans recorded.""",Bottom-up,Community leaders,33.2 Ha ,33,"For Ahus, closure was permeanent and harvested 1-3 times per year. ",0.25-1,2-11 months,"Unclear/ not mentioned (""Several times per year the community harvests fish from within the tambu areas to provide for feasts."")",1,1 day,"Using underwater visual census, Cinner et al. (2005a) found that the biomass and the size of targeted fish species were more than 60 and 20% higher, respectively. ",Increase,N/a,N/A,High Compliance ,High,"Not stated specifically, but customary manamgment systems have been effecteive in increasing fish catch in adjacent fisheries & increasing biomass of target species as well as achieving high levels of compliance. ",,
6,007-CIN-07-B,10.1007/s00338-007-0213-2,Cinner J,2007,"Cinner J, R. Pollnac ",Indonesia ,Asia,1,"Governed by polycentric institutions operating at the national, provincial, and local scales. ""Ownership of resources is defined by social groups typically at the individual, family, clan, and/or community level, and different groups may have overlapping rights with differing levels of autonomy. """,Co-management,Coastal coral reef,Periodically Harvested Closure,A council of 3 chiefs (1 from each clan).,Bottom-up,Community leaders,58 Ha ,58,6-12 months every 6-24 months.,0.5-2,1-9 years,rest of time,6-18 months,rest of time,"""The biomass of fishes were higher inside the managed area compared to outside the area.""",Increase,N/a,N/A,High Compliance ,High,"Not stated specifically, but customary manamgment systems have been effecteive in increasing fish catch in adjacent fisheries & increasing biomass of target species as well as achieving high levels of compliance. ",,
7,016-JUP-17-A,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Oceania,1,"iTaukei Lands and Fisheries Commissions, FLMMA (NGO), the village comunity, fish wardens, the province. Wildlife Conservation Society (NGO)",Co-management,Coastal coral reef,Periodically Harvested Closure,"Wildlife Conservation Society (NGO). Provincial high chief, Provincial management committeee, Village chiefs (high chiefs in practice).",Co-management,"Community leaders, NGO",15.5 km^2,"1,550",Closed 1 year.,1,1-9 years,N/a but closure area was harvested once per year.,1,1 day,1545 kg/ ha (Table 3),,N/a,N/A,Low compliance with PHC rules .,Low,"Closure was a success since the Cakaulevu closure was "" successful in providing biodiversity benefits.""",,
8,016-JUP-17-B,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Oceania,1,"iTaukei Lands and Fisheries Commissions, FLMMA (NGO), fish wardens, the community and chiefs. District Council of Chiefs, District Resource Management Committee.  ",Co-management,Coastal coral reef,Periodically Harvested Closure,"Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource Management Committee, and village chiefs.  (""Rules of the periodically harvested closure (PHC) is determined by a single village that is managed collectively by multiple villages within a district.)",Co-management,"Community leaders, NGO, regional government",1.3 km^2,130,~3 monts,0.25,2-11 months,N/a but closure was harvested every 3-4 times every 3 month interval.,1,1 day,575 kg/ ha (Table 3),,N/a,N/A,"High compliance. (""Nakali reported strong local compliance with PHC rules and have been successful in excluding outsiders from their PHCs"").",High,"The frequency of PHC harvests and interval since last harvest provide insufficient time for the regeneration of targeted fish species; although they had high complicance, they did not protect biodiversity or resource units",,
9,016-JUP-17-C,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Oceania,1,"iTaukei Lands and Fisheries Commissions, FLMMA (NGO), fish wardens, the community and chiefs. District Council of Chiefs, District Resource Management Committee.  ",Co-management,Coastal coral reef,Periodically Harvested Closure,"Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource Management Committee, Village Chiefs. (""Rules of the periodically harvested closure (PHC) is determined by a single village that is managed collectively by multiple villages within a district.)",Co-management,"Community leaders, NGO, regional government",2.1 km^2,210,1 year.,1,1-9 years,N/a but closure was once per year. ,1,1 day,921 kg/ha  (Table 3),,N/a,N/A,Medium compliance.,Medium,Cakau Naitaga failed to protect both biodiversity units and protection resource units,,
10,016-JUP-17-D,10.1080/08941920.2017.1315654,Jupiter S,2017,"Stacy D Jupiter, Graham Epstein, Natalie C. Ban, Sangeeta Mangubhai, Margaret Fox, Michael Cox",Fiji,Oceania,1,"iTaukei Lands and Fisheries Commissions, FLMMA (academic),  fish wardens, the community and clan chiefs. District Council of Chiefs, District Resource Managment Committee. ",Co-management,Coastal coral reef,Periodically Harvested Closure,"Wildlife Conservation Society (NGO). District Council of Chiefs, District Resource Management Committee. ",Co-management,"Community leaders, NGO, regional government",0.2 km^2,20,4 year,4,1-9 years,N/a (not open to date) ,0,0 (never open),"494 kg/ ha total biomass (Table 3) (""significantly greater  targeted  fish  biomass).",,N/a,N/A,Low compliance. ,Low,Yakuta successfully protected resource units but not biodiversity units,,
